name,feature_easting,feature_northing,pointx_class
Boots,500740.5,149535.1,5280364
Rushey Green Pharmacy,537819,174122,5280364
Ha McParland Ltd,496613,198285,5280364
Community Nurses Office,477241,173462.4,5280365
Five Villages Pharmacy,495721,104479,5280364
St Peters Pharmacy,384322,432721,5280364
Stratford Healthcare,419709.2,255215.4,5280365
Boots,329151,377618,5280364
Tesco in-store Pharmacy,443506,401018,5280364
Tesco in-store Pharmacy,441887,522191,5280364
Rowlands Pharmacy,369874,355875,5280364
Tesco in-store Pharmacy,586149,188113,5280364
Petersfield Pharmacy,546038,257966,5280364
Queen Street Pharmacy,599913,225125,5280364
Day Lewis Pharmacy,536096,204560,5280364
Ritechem Pharmacy,517924,167306,5280364
Hollowood Chemists Ltd,357892.1,394387.6,5280364
Cohens Chemist,391898.2,373468.7,5280364
Day Night Pharmacy,436635,333284.8,5280364
Lloyds Pharmacy,503184,422041,5280364
SK Chemist,334191,396259,5280364
Well Pharmacy,454212,339953,5280364
Manor Pharmacy,368062,400903,5280364
Health Visitors Office,402363.7,308106,5280365
Boots,346921,392535,5280364
Boots,469717,381522,5280364
Day Lewis Pharmacy,521486,168012,5280364
Community Learning Disabilities Services,390438.3,413020.5,5280365
Easington Medical Centre,443252,543939,5280365
Children's Learning Disability Centre,508776,428299,5280365
Ty Forglen House,323684,191020,5280365
Medicine Chest Pharmacy,461909,305641,5280364
Lane End Pharmacy,480784,191752,5280364
Community Learning Disabilities Unit,333171.5,351085.1,5280365
Insync Healthcare Pharmacy,316640,181767,5280364
Newick Health Centre,541769.4,121350,5280365
Boots,515081.9,102862.7,5280364
Pennygate Medical Centre,361883,405101,5280365
Community Nurses Office,310476.6,306586.5,5280365
Community Nurses Office,325676,139473.9,5280365
Community Nurses Office,454869,207378,5280365
Learning Disability Day Service,513592,102499.6,5280365
Acre Day Hospital,514040,102355,5280371
Rehabilitation and Intermediate Care Svc,486246,106502,5280365
Bridge Pharmacy,501650,159426,5280364
Hatfield Health Centre,465757,409144,5280365
Community Nurses Office,329269,137300,5280365
Balliol Centre,426852,568581,5280365
Heatherdene,431866,455234,5280365
Boots,357494.2,115854.9,5280364
Boots,508948,434521.7,5280364
Optipharm Pharmacy,519449,186442,5280364
Lloyds Pharmacy,440690,355768,5280364
St Albans Pharmacy,454233,345843.9,5280364
Cox & Robinson Pharmacy,486701.6,236485.4,5280364
Community Nurses Office,404350,277493,5280365
Dock Pharmacy,563718,176348,5280364
Community Nurses Office,509888,268339,5280365
Community Nurses Office,355419,419351,5280365
Boots,452968.2,190038.4,5280364
Boots,523488.3,180243.9,5280364
Franklin House,290703,91454,5280371
Vale Pharmacy,403453.2,243634,5280364
Wellbeing Pharmacy,499549,259648,5280364
Central Pharmacy,427468.7,587811.5,5280364
Guilsborough Pharmacy,467021,273237,5280364
Cohens Chemist,372618.3,411292.3,5280364
Centre for the Health of the Elderly,422850,564683,5280365
Morrisons Pharmacy,614009,245153,5280364
Dalston Pharmacy,343213.4,553820.4,5280364
Valley Centre,487388,192921,5280365
Lloyds Pharmacy,494891.3,368469.9,5280364
Community Nurses Office,533288,177471,5280365
Lloyds Pharmacy,414919.4,105188.2,5280364
Lloyds Pharmacy,514589,160447,5280364
Lloyds Pharmacy,324261.2,90933.1,5280364
District Nurses,577765,152822.7,5280365
District Nurses,579574.8,155244.5,5280365
Community Nurses Office,458818.4,132515.2,5280365
Learning Disabilities Team,353484,431011,5280365
District Nurses Office,383388,217228,5280365
Community Matrons Office,433740.8,383348.8,5280365
Health Visitors Office,356434.7,387866.7,5280365
Day Lewis Pharmacy,619554,241792,5280364
Riverside Pharmacy,459974.9,315448.4,5280364
Asda Pharmacy,491089,336030.9,5280364
Community Nurses Office,433551,168680,5280365
Community Nurses Office,432931,178524.8,5280365
District Nurses Office,441664,404332.9,5280365
District Nurses/Health Visitors Office,315414.5,234159.1,5280365
Celtic Point Pharmacy,457822,381362,5280364
St Giles Community Mental Health Team,533126,176887,5280365
Charnley Fold House,356871,427073,5280365
Meridian House,406967,441981,5280365
Balladen House,379907,422635,5280365
Artesian Health Centre,533722,178998,5280365
Shared Care Practice,504643,250343,5280365
Daisyfield Centre,369155,428376,5280365
St Leonards Pharmacy,292628.1,92605.6,5280364
District Nurses Office,401689,201230,5280365
Lloyds Pharmacy,417035,433576,5280364
Hollowood Chemists Ltd,355620.5,400033.6,5280364
Ashchem Chemist,430763.9,564508.9,5280364
Community Nurses Office,500949,106907,5280365
Lustrum Vale Combined Care Centre,443440,520286,5280365
Gender Identity Clinic,523709,177695,5280365
Ward Green Pharmacy,434838,404332,5280364
Hobbs Pharmacy,495705,197605,5280364
Redbridge Learning Disabilities,544289.4,189658.9,5280365
Gibson Pharmacy Ltd,417690,434454,5280364
Community Nurses Office,539962,171595,5280365
Avon Pharmacy,419734.2,255230.4,5280364
The Parallel Young People's Health Service,371876,409364,5280365
Community Nurses Office,480922,281584,5280365
"Middlesbrough, Redcar & Cleveland Community Srvs",461527.2,515902.1,5280365
Brennans Pharmacy,457343,303900,5280364
Health Development/Smoking Cessation Service,580126,111070,5280365
Tesco in-store Pharmacy,471407.8,106011.2,5280364
Unity Pharmacy,489486,407744,5280364
Jhoots Pharmacy,486213,278819,5280364
Clevechem,460209,523244,5280364
The Rosebud Centre,568209,158747,5280365
Lloyds Pharmacy,485439,93379,5280364
Lloyds Pharmacy,413132.4,187188.1,5280364
Wilson House,386523,400320,5280365
Day Lewis Pharmacy,554168,192063,5280364
Stourport Pharmacy,381074,271246,5280364
Medsexpress Pharmacy,407093,428017,5280364
Canterbury Pharmacies Ltd,629600.5,169305.4,5280364
Community Nurses Office,332104,108556,5280365
Community Mental Health Services,617367,214766.6,5280365
Kentish Town Health Centre,529075,184696,5280365
Boots,574778,115890,5280364
Monkton Park Offices,392113,173569,5280365
Community Nurses,323178,363564,5280365
Day Lewis Pharmacy,199066,72242,5280364
Asda Pharmacy,402835,287719,5280364
The London Lane Clinic,539854,170333,5280365
South Community Mental Health Team,349820.2,614687.9,5280365
Hawick Community Hospital,349809,614689,5280371
The Northern Centre for Cancer Care,426107.8,567654.2,5280365
Cirencester Hospital,401792,201517,5280371
Child Health Services County Offices,394356,222287,5280365
Community Services,417204,433578,5280365
Babington Hospital,434588,346973,5280371
Eating Disorder Service,542821,169338,5280365
Lundwood Health Centre,437191.7,406829.6,5280365
Rowlands Pharmacy,368204,353798,5280364
Enfield Assessment Service,529387,194337,5280365
Gorse Hill Hospital,455875,307530,5280371
Birmingham Treatment Centre,404788.3,287918.1,5280365
Goole Treatment Centre,474348,424926,5280365
Learning Disabilities Services,445835,123802,5280365
Mental Health Services,451375,529828,5280365
Community Nurses Office,408483,109159,5280365
Rudgwick Pharmacy,508678,133391,5280364
Block 7 (Mental Health Services),550548.2,256458.7,5280365
Lloyds Pharmacy,533397,104586,5280364
Boots,444735,521589.6,5280364
Asda Pharmacy,534424.2,193300.4,5280364
Skye Pharmacy,437291,386442.6,5280364
Temple House,365451,168408.2,5280365
Shiremoor Health Resource Centre,431653,571555,5280365
Merrimans Hill Resource Centre,385039,256313,5280365
Colden Pharmacy,448062,122270,5280364
Warranty House,522699,184577,5280365
Whiteladies Pharmacy,357594,174202,5280364
Heavers Resource Centre,533284,167761,5280365
Redwood Elective Centre,528501,148197,5280365
Windmill Pharmacy,337613,427373,5280364
Morton Resource Centre,480873,391247,5280365
Biddulph Pharmacy,388293,357534,5280364
Crisis Intervention Team,398584,289431,5280365
Orchard Centre,469542.3,415143.7,5280365
Valentine Centre,455809,307583,5280365
Asda Pharmacy,450175,275212,5280364
Roundabout Childrens Centre,533412,104582.5,5280365
West Heath Hospital,403242,277800,5280371
Radcliffe Pharmacy,378678.2,407128.5,5280364
Knowsley House,352013,394209,5280365
Grt Manchester West Discover Drug & Alcohol Svc,354557,422642,5280365
Teignmouth Hospital,293032,73158,5280371
Well Pharmacy,318751,177664,5280364
Richmond House,147051,30715,5280365
Stepping Stones,182198,44874,5280365
Anchor Project,180325,32516,5280365
Roswyth,180991,61599,5280365
Trelil Court,206992,67093,5280365
Elfordleigh Resource Service,232728,85447,5280365
Lytham Health Centre,337613,427376,5280365
Newham Child and Family Consultation Service,540541,182424,5280365
Pear Tree Pharmacy,435263,333958.7,5280364
Johnson Community Hospital,524757.8,324259.1,5280371
Well Pharmacy,297928,189068,5280364
Community Nurses Office,527876,168073,5280365
Wigan Investment Centre,357966,404980,5280365
Heathlands Care Centre,538703,192973,5280365
Community Mental Health Services,460733,302383,5280365
Outwood Pharmacy,432809,423545.6,5280364
Boots,375109.8,164438,5280364
Highfield Pharmacy,442559,115004,5280364
Boots,355220,428234,5280364
Harlow Healthcare Pharmacy,544299.7,210152.8,5280364
Day Lewis Pharmacy,203641,53013,5280364
Bicton Heath Pharmacy,345638.5,313318.2,5280364
Penwortham Pharmacy,352181.8,428545.6,5280364
Mediwise Pharmacy,528111,146514,5280364
Chirnside Pharmacy,386988,656438,5280364
Tesco in-store Pharmacy,416261,434313,5280364
Badham Pharmacy,389663,231908,5280364
Peak Pharmacy,434061.9,378842.7,5280364
Cohens Chemist,319670,472024,5280364
Ealing Pharmacy,517106,182134,5280364
Tesco in-store Pharmacy,651586,307108,5280364
Boots,530245,182948,5280364
Boots,529511,175372,5280364
Boots,436401,428599,5280364
Wallisdown Pharmacy,406345,94095,5280364
Lloyds Pharmacy,356448.4,387913.6,5280364
Church Street Chemist,377642,398491,5280364
Tesco in-store Pharmacy,453522,319940,5280364
Cohens Chemist,378630,423147,5280364
Vision Pharmacy,457702,303869,5280364
Kilmeny Health Centre,405307,439971,5280365
Health Visitors Office,524216,163643,5280365
Nelson Pharmacy,385908,438056,5280364
Sparkbrook Pharmacy,408458.1,285077.3,5280364
Bletchley Community Hospital,486115,234015,5280371
Well Pharmacy,394712,395075,5280364
Tesco in-store Pharmacy,538160,182735,5280364
Boots,456405.3,413554.8,5280364
Well Pharmacy,388360,410440,5280364
Tesco in-store Pharmacy,403650,94338,5280364
Tesco in-store Pharmacy,368742,89221,5280364
Tesco in-store Pharmacy,388541.3,396144.3,5280364
Tesco in-store Pharmacy,442973.1,413141.6,5280364
Kepple Lane Pharmacy,348640,444776,5280364
Boots,344916,385059,5280364
Fair Oak Village Pharmacy,449290.4,118629.2,5280364
Manchester Road Pharmacy,362053,389032.6,5280364
Warrington Hospital,359484,388746,5280371
Children's Care Team,544435,190476,5280365
Cohens Chemist,332134,429198.4,5280364
Cohens Chemist,430874,455679,5280364
Tesco in-store Pharmacy,284248,99522,5280364
Shiphay Pharmacy,289210,65715,5280364
Lloyds Pharmacy,458505,378550,5280364
LO'S Pharmacy Ltd,441247.7,408814.6,5280364
The Phoenix Centre,385623.6,410645.7,5280365
Camden & Islington Assertive Outreach Teams,528983,183859,5280365
Marton Road Pharmacy,518358,468485,5280364
Northway Medical Centre,391213,294456,5280365
Springbank Community Resource Centre,392113,223879,5280365
District Nurses Office,334990.6,391447.4,5280365
Luton Community Services,504373.8,222557,5280365
Community Services,513229,181516,5280365
Springboard Child Development Centre,337708.8,555246.2,5280365
Tesco in-store Pharmacy,567200.9,245770.4,5280364
Tesco in-store Pharmacy,386124,391490,5280364
Tesco in-store Pharmacy,446642,523827,5280364
Tesco in-store Pharmacy,510939,104791,5280364
Boots,617343,214980,5280364
Royal Manchester Children's Hospital,385147,396013,5280371
Boots,415495.7,141609,5280364
The Score Centre,537761,186436,5280365
Corbar Birth Centre,406258,372372,5280365
Bexhill Hospital,574352,108607,5280371
Morrell's Pharmacy,383879.1,347187.5,5280364
Royal South Hants Hospital,442484,112720,5280371
Newtown Health Clinic,442383,112843,5280365
Good Life Pharmacy,421593,329950,5280364
Faversham Cottage Hospital,601430,161205,5280371
Louise House Intermediate Care Centre,348894,310947,5280365
Lloyds Pharmacy,332181,108443,5280364
Community Nurses Office,346762,312312,5280365
Boots,405548.3,92091.9,5280364
Well Pharmacy,425992.8,533917.3,5280364
Community Nurses Office,532015,173896,5280365
Brompton House,437008,494457,5280365
Community Nurses Office,435881,403744.8,5280365
Community Nurses Office,416341,430980,5280365
Low Moor Medical Centre,415302,428607,5280365
Dearden House,378644,423334,5280365
Hanborough Pharmacy,441748,214159,5280364
Bramley Pharmacy,424532.5,435380.7,5280364
Boots,466761.7,102504.5,5280364
Boots,595064,224440,5280364
Jhoots Pharmacy,372609,165481,5280364
Crisis Team,599526,227426.6,5280365
Cohens Chemist,535126.9,186853.2,5280364
Lloyds Pharmacy,408880,280945,5280364
Community Nurses Office,355079.2,117128.7,5280365
Community Nurses Office,378952,246180,5280365
Tesco in-store Pharmacy,408208,424282,5280364
Boots,302082,108110,5280364
Peak Pharmacy,436653.6,348352.4,5280364
Kamsons Pharmacy,528931,151898,5280364
Oldfield Pharmacy,375418,388534,5280364
Community Nurses Office,532795.6,183358.8,5280365
Langho Pharmacy,370517.4,434269.2,5280364
Healthpoint Pharmacy,375639.7,242591.2,5280364
Well Pharmacy,343061.4,392060.3,5280364
Beckenham Clinic,537390,169765,5280365
Lincoln Archway Centre,499768,372626,5280365
Integrated Community Nursing and Therapy Team,506562,204690,5280365
Rose Chemist,531607,184618,5280364
Lloyds Pharmacy,380997.1,411033.9,5280364
Community Nurses Office,423361,563517,5280365
Community Nurses Office,425651.8,582068.2,5280365
Community Nurses Office,350646,395927,5280365
Community Nurses Office,355548.9,396720.9,5280365
Fairfield Centre,320624,470430,5280365
Peel Court Pharmacy,420582,304138,5280364
Hub Pharmacy,360594.3,413525.7,5280364
Community Nurses Office,373060.2,165839.2,5280365
Community Nurses Office,312861,201699,5280365
Community Nurses Office,348533.4,383913,5280365
The Priory Pharmacy,457239,450725,5280364
Hinchingbrooke Hospital,522564,272105,5280371
Mansons Chemists Ltd,540512,185102,5280364
Community Nurses Office,496310,175863,5280365
Buckingham Hospital,469688,234257,5280365
Marlow Hospital,485308,186794,5280371
Netherton Pharmacy,336002,398401,5280364
The Dove Primary Care Centre,409280.9,293040.8,5280365
Community Nurses Office,485372,186846,5280365
Rye District Nurses,591866,121623,5280365
Tesco in-store Pharmacy,469641,173766,5280364
Asda Pharmacy,396562,283370,5280364
Loggerheads Pharmacy,373948,335827,5280364
Moin's Chemist & Wellbeing Centre,460512,303991,5280364
Boots,507168.2,175725.8,5280364
Golborne Chemist,360523,398063,5280364
Adarshi Pharmacy,531886,172468,5280364
Scott Rowe Centre,329863,98731,5280365
The Warrens,453488,300054,5280365
Lloyds Pharmacy,367214.2,177153.4,5280364
Infection Control Nursing Unit,435002,284477,5280365
The Jarman Centre,368298,428402,5280365
Community Nurses Office,440135.7,402962,5280365
Cockermouth Community Hospital,312457,530942,5280371
Prince Street Health Clinic,332021,397836.4,5280365
Community Nurses Office,440181.8,556931.5,5280365
Community Nurses Office,303768,535693,5280365
Solway Health Clinic,341125.7,554657.7,5280365
Community Nurses Office,300916.4,510703.3,5280365
Community Nurses Office,424452,560849,5280365
Community Nurses Office,425804,559986,5280365
District Nurses Office,377693.4,398776.3,5280365
Pikes Lane Health Centre,370603.6,408595.8,5280365
Great Lever Health Centre,371454.5,407764.5,5280365
The Broughton Intergrated Care Team,382916,399743,5280365
Shareef Pharmacy,412919.3,285385.2,5280364
Ash Grove Pharmacy,449965.4,423433.5,5280364
District Nurses Office,360014.6,437480.3,5280365
Ashby Pharmacy,435687,316851.5,5280364
Health Visitors Office,423135.8,422832.9,5280365
Tops Pharmacy,340312.3,399368.5,5280364
Belfield Pharmacy,391241,413861,5280364
Lloyds Pharmacy,486246.5,193346.5,5280364
Hampton Pharmacy,517078,294158,5280364
Breezehill Neighbourhood Health Centre,335937.4,395289.2,5280365
Withernsea Community Hospital,534287.9,427713.3,5280371
Gloweth,179491,45264,5280365
Deeside Community Hospital,330534,367787,5280371
The Choices Centre,389503,390378,5280365
Chirk District Nurses,328950.2,337728.1,5280365
Porters Avenue Health Centre,547372,185156,5280365
Rowlands Pharmacy,373652,355682,5280364
Woodside Day Centre,392717,288992,5280365
The Cedar Centre,497304,150014,5280365
Colchester Cornerstone,599441,224989,5280365
Gloucester House,532031,181561,5280365
Woodvale Pharmacy,331351.9,411127.5,5280364
Kent Oncology Centre (Maidstone Hospital),573306,155900,5280365
West View Health Village,332199,446731,5280365
Lloyds Pharmacy,436866.5,391380.9,5280364
Community Nurses Office,434106,436721,5280365
Rowlands Pharmacy,357403,400095,5280364
Rowlands Pharmacy,341282,400227,5280364
Rowlands Pharmacy,333546.6,385599.6,5280364
Well Pharmacy,363773.5,375122.8,5280364
Lloyds Pharmacy,353269.1,393389.3,5280364
Boots,431108,581716,5280364
Clemitsons,416373,535719,5280364
Burnopfield Pharmacy,416788,556745,5280364
Day Lewis Pharmacy,538390,189584,5280364
Maswell Park Pharmacy,514271.6,175150.9,5280364
Husbands Pharmacy,524299,174959,5280364
Markrise Pharmacy,529292,171069,5280364
Great Park Pharmacy & Clinic,422463.4,570757.7,5280364
Day Lewis Pharmacy,399800.9,291795.3,5280364
Community Services,509353,221289,5280365
Ravendale Health Clinic,498084,373220,5280365
Community Psychiatric/Assertive Outreach Services,436090,405616,5280365
Community Nurses Office,402910.9,78872.9,5280365
Lloyds Pharmacy,405432.5,289267.2,5280364
Jubilee Centre,507454,346241,5280365
Romford Clinic,551668.6,189253.7,5280365
Peak Pharmacy,427354.2,323191.6,5280364
Manor Brook Medical Centre,540754,176417.4,5280365
Macdonald Road Medical Centre,371410,393592,5280365
District Nurses Office,455606.2,454137.5,5280365
Romiley Health Centre,394120,390914,5280365
Heswall District Nurses Office,327465,385228.1,5280365
Community Mental Health Services,432946,420810,5280365
Seacombe Family Centre,332086,390801.1,5280365
Crystal Villas,517617,467160,5280365
District Nurses Office,381376,397522,5280365
Delamere Centre,379702,394861,5280365
Wokingham Community Hospital,480385,168540,5280371
The Chris Ellis Centre,590740.9,163059.8,5280365
Felixstowe Community Hospital,630645,234796,5280371
Longton Cottage Hospital,391882.9,342293.9,5280371
R H R Medical Centre,452101,342631,5280365
Kelling Hospital,609592,339771,5280371
Boots,563752.7,102077,5280364
Hornsey Rise Health Centre,530040,187507,5280365
Droitwich Pharmacy,389596.6,263214.6,5280364
Kamsons Pharmacy,531389,104033,5280364
Community Mental Health Services,545656,201997,5280365
District Nurses Office,431338.4,380032.9,5280365
Drighlington Pharmacy,422780,428681,5280364
Machen Pharmacy,321105,189173,5280364
Lloyds Pharmacy,394329,222602,5280364
Healthy Routes,358369,405885,5280365
Boots,460243.7,451726.4,5280364
Vale House Resource Centre,364696,366297,5280365
Day Lewis Pharmacy,436566,493498,5280364
Alton Community Hospital,470796,138324,5280371
County Hospital Louth,532554.9,387811.7,5280371
Lloyds Pharmacy,365661.1,155688.9,5280364
Skegness & District Hospital,556083,363433,5280371
Partnership Primary Care Centre,530268,185583,5280365
Victoria Hospital,636789.3,152147.5,5280371
Bede House,429704,543751,5280365
Newborough Pharmacy,520714,305971,5280364
Well Pharmacy,423840,438104,5280364
Lloyds Pharmacy,391911,293173,5280364
Whitworth Chemists Ltd,427628,559158,5280364
Bognor Regis War Memorial Hospital,493455,100147,5280371
Stroud General Hospital,385726,204945,5280371
Lever Chambers Centre for Health,371546,409005,5280365
Eccleshill Clinic,418871.5,436603.2,5280365
Chilton Moor Pharmacy,432419.4,549850.6,5280364
Kamsons Pharmacy,589287.5,164744.1,5280364
Childrens Centre,394105,342456,5280365
Cleggs Pharmacy,439774.8,188023,5280364
Huncoat Pharmacy,377294,430763,5280364
Community Nurses Office,390297,280320,5280365
Areley Kings Pharmacy,380154,270007.5,5280364
Wheata Clinic,435303,393040,5280365
Child & Family Health Services,332212.1,398465,5280365
Allens Croft Children's Centre,406007,280382,5280365
Children's Services,422910.9,302116.6,5280365
Lloyds Pharmacy,573577.4,208964,5280364
Lloyds Pharmacy,460189,148832,5280364
Lloyds Pharmacy,505779,103114,5280364
Community Nurses Office,438034,373850,5280365
Cohens Chemist,442799.5,413022.2,5280364
Community Nurses Office,452216,362802,5280365
Lloyds Pharmacy,360846,389368,5280364
Orchards Hills House,404098,297584,5280365
Boots,415249,283135,5280364
Community Nurses Office,316830,129361,5280365
Northfield Childrens Centre,461115,306423,5280365
Lloyds Pharmacy,585186.7,281969,5280364
Action for Children C.F.M,622257.7,311431.5,5280365
Woodlands House,621020,309018,5280365
Community Nurses Office,472558,164945,5280365
Tesco in-store Pharmacy,339171,391093,5280364
Newark CAMHS,479972,354387,5280365
Stirchley Medical Practice,370751,306466.3,5280365
Allerton Health Centre,411531,433623,5280365
Chapelford Primary Health Care Centre,358038,389001.2,5280365
Tesco in-store Pharmacy,547726,170309,5280364
Asda Pharmacy,532241.1,344325.6,5280364
Nursing Services,353944,634437,5280365
Boots,398373,96001,5280364
Mount Vernon Hospital,434959,404765,5280371
Community Services,400336,289693,5280365
Community District Offices,389122,391133,5280365
McGill Pharmacy,455716.2,401086.4,5280364
Boots,459456,452908,5280364
Vittoria Pharmacy,331576.8,389338.6,5280364
Rowlands Pharmacy,414801,434209,5280364
Asda Pharmacy,333955.6,395509.7,5280364
Tesco in-store Pharmacy,599951,312462,5280364
Weldricks Pharmacy,465741,409093.6,5280364
Asda Pharmacy,433131.9,264336.6,5280364
Pearn's Pharmacy,318634,198459,5280364
Fareham Pharmacy,455820.7,107053.6,5280364
Tesco in-store Pharmacy,587480,242951,5280364
Jardines Pharmacy,435832.5,334989,5280364
Lloyds Pharmacy,531835.8,108583.8,5280364
Tesco in-store Pharmacy,535261,191953,5280364
Wootton Pharmacy,476189,256631,5280364
Grange Lodge,621914,245410,5280365
Medicines & Pharmacy,498850,357732,5280364
Asda Pharmacy,425815,426608,5280364
Cohens Chemist,391100,415171,5280364
Sedem Pharmacy,343210,392167,5280364
Tesco in-store Pharmacy,383073.9,276303,5280364
Tesco in-store Pharmacy,334719.6,433617,5280364
Asda Pharmacy,386852.7,395652.8,5280364
Alconbury Chemist,518605,275950,5280364
Pharmacy Direct,444445,110122,5280364
JNK Company,396080,398568,5280364
Community Nurses Office,422420,420264,5280365
Community Nurses Office,419125,410042,5280365
New Brook House,455622,340840,5280365
Cohens Chemist,356248,431974,5280364
The John Tallack Centre,562266.3,180080,5280365
Dieticians Office,388818,390280,5280365
Community Nurses Office,391111.7,290936.7,5280365
Boots,376575,394844,5280364
Ward End Pharmacy,411403,288404,5280364
Tesco in-store Pharmacy,462140,406970,5280364
Tesco in-store Pharmacy,437070,317413,5280364
Millenium Pharmacy,531350,177070,5280364
Family Nurse Partnership Project - South Team,383763,394669,5280365
Wallingford Community Hospital,460480,188876,5280371
Podiatry Services,422897,568829,5280365
John Bunyan House,505547,250272,5280365
St Nicholas Park Clinic,437645,293219,5280365
Anstice Pharmacy,369635,304358,5280364
Springfields Health & Wellbeing Centre,403625.5,318845.4,5280365
Tesco in-store Pharmacy,460463,524663,5280364
Yeatman Hospital,363635.6,116829.2,5280371
Community Nurses Office,478771,471963,5280365
Community Nurses Office,459445,452763,5280365
Malton Norton & District Hospital,478071,471925,5280371
Leyton Orient Pharmacy,537912.8,186465,5280364
Chain Lane Pharmacy,352799,396963,5280364
Lloyds Pharmacy,394006.8,563892,5280364
Day Lewis Pharmacy,584049.9,265714.8,5280364
Tesco in-store Pharmacy,437481.5,405031.8,5280364
Heritage Pharmacy,451232.4,387110.5,5280364
Dudley Wood Pharmacy,394046,286935,5280364
The Village Pharmacy,424062,498020,5280364
Simply Pharmacy,333645,397535.4,5280364
Market Street Pharmacy,369201.9,422213.7,5280364
Hub Pharmacy,332071.7,435580.9,5280364
Asda Pharmacy,434569,434614,5280364
Boots,462850,340885,5280364
Richmond Pharmacy,412660,286630,5280364
Tesco in-store Pharmacy,369796.3,428422.9,5280364
Lloyds Pharmacy,380741.2,214304.2,5280364
Fairbrother Pharmacy,546320,309615,5280364
Well Pharmacy,349137,445267,5280364
Smoke Free Norfolk,652613.9,308735.8,5280365
Asif's Pharmacy,409756,288128,5280364
Lloyds Pharmacy,447739,382903,5280364
Knight Street Pharmacy,524105.3,325882.9,5280364
Boots,431872,420695,5280364
Vantage Pharmacy,396185,298493,5280364
Halls the Chemist,520309,296247,5280364
Community Nurses Office,527099,182235,5280365
Auckley Pharmacy,465190,401017,5280364
Tesco in-store Pharmacy,540403,298020,5280364
Asda Pharmacy,563008,177171,5280364
Cohens Chemist,374656.6,409601,5280364
Community Nurses Office,446792,411270,5280365
Weldricks Pharmacy,462385,391544,5280364
The Simpsons Centre,493486,191079,5280365
Community Nurses Office,350422,614653,5280365
Haydon Bridge Pharmacy,384255,564366,5280364
Dereham Hospital,599180,314330,5280371
Lloyds Pharmacy,500949.4,106906.9,5280364
Tesco in-store Pharmacy,570167,205296,5280364
Asda Pharmacy,512074.9,222435.2,5280364
Tonypandy Health Centre,299371,192819,5280365
Asda Pharmacy,465014.7,100288.1,5280364
Boots,461920,149947,5280364
Swan Pharmacy,535895,202100,5280364
Mason Chemists,449219,309855,5280364
Asda Pharmacy,540497.3,178561.2,5280364
Eastfield Pharmacy,369434.7,375152.6,5280364
Home Ground Pharmacy,413387,188171,5280364
Boots,334608,187027,5280364
Community Nurses Office,426483.4,417176.1,5280365
District Nurses Office,444009,416696.4,5280365
Community Nurses Office,429908,435408,5280365
Vicarage Pharmacy,539467.5,184448.3,5280364
Safeguarding Children,306095,261482,5280365
Lloyds Pharmacy,497520,100415,5280364
Health Visitors Office,433696,567498,5280365
Bodywise,385679,382316,5280365
Community Nurses Office,358520.6,175367.7,5280365
Thames Gate House,587927,186200,5280365
Community Nurses Office,383227,400812,5280365
Community Nurses Office,348142,101418,5280365
Castle House,384666,255373,5280365
Community Nurses Office,471223,174807,5280365
Audley Late Night Pharmacy,369338,427668,5280364
Community Health Services,434988.4,405657.9,5280365
Asda Pharmacy,365552.4,172274,5280364
Lloyds Pharmacy,544858,112384.8,5280364
Tout's Pharmacy Dorchester,369170.8,90258.6,5280364
Cohens Chemist,342762,165387,5280364
Tesco in-store Pharmacy,440730,433631,5280364
The Martinwells Centre,453678.1,398595.4,5280365
Lloyds Pharmacy,456319,105470,5280364
Cohens Chemist,348322,461848,5280364
Hillside Pharmacy,332470.9,414223.5,5280364
Rowlands Pharmacy,407889,449676,5280364
Phillips Chemist,336030.6,392480.6,5280364
Boots,411367,438975,5280364
Tesco in-store Pharmacy,458286,448970,5280364
Boots,419263,552837,5280364
Parade Pharmacy,587335,241489,5280364
Clinichem Ltd,529298,178734,5280364
Community Nurses Office,369661,82672,5280365
Well Pharmacy,350801.4,395797.8,5280364
Fairlee Pharmacy,528572,175881,5280364
Orchard House,484728.2,191352.2,5280365
Priory Community Pharmacy,394119,291363,5280364
Rectory Meadow Centre,495741.6,197559.9,5280365
Lloyds Pharmacy,450985.8,514675.3,5280364
Garstang Medical Centre,348640,444776,5280365
The New Selby War Memorial Hospital,460717,431628,5280371
Finchley Memorial Hospital,526387,191223,5280371
Lydney & District Hospital,362900,203441,5280371
Wellbeing Pharmacy,394900,99568,5280364
Sevenoaks Hospital,553140,156635,5280371
Tonbridge Cottage Hospital,559260,144720,5280371
Frank Lloyd Unit,590661,163042,5280365
Claygate Pharmacy,515132,163745,5280364
Lloyds Pharmacy,533142,124076,5280364
St Paul's Pharmacy,331964.3,390730.4,5280364
Norfolk Lodge,527288,170559,5280365
Jhoots Pharmacy,357261,177354,5280364
Manor Pharmacy,365674,404348,5280364
Well Pharmacy,365353.6,352448.4,5280364
Boots,393546.9,186545.1,5280364
Day Lewis Pharmacy,534412,186144.6,5280364
Daynight Pharmacy Ltd,434931,336068,5280364
Boots,367703.1,425905.7,5280364
Ferham Clinic,441468,392852,5280365
Walmer Road Health Centre,524128,180772,5280365
Kamsons Pharmacy,511000.6,104816,5280364
Tesco in-store Pharmacy,380375.6,389316.6,5280364
Sigcare,511226,197691,5280364
Amal Pharmacy,539871,179252,5280364
